final_rank,title,year,genres,popularity_rank,rating_rank,final_score
880,Sherlock: A Study in Pink,,,N/A,777,1199.50
881,Ali: Fear Eats the Soul,,"Romance, Drama",N/A,779,1201.00
882,Time of the Gypsies,,"Drama, Comedy, Crime, Fantasy",N/A,780,1201.75
883,Sing Sing,,Comedy,N/A,782,1203.25
884,Daily Dose of Sunshine,,,N/A,784,1204.75
885,Blow Out,,"Thriller, Mystery, Crime",1222,1202,1207.00
886,Nayakan,,"Drama, Crime",N/A,787,1207.00
887,The Given Word,,Drama,N/A,788,1207.75
888,"Kanehsatake, 270 Years of Resistance",,Documentary,N/A,789,1208.50
889,Fireworks,,,N/A,790,1209.25
890,Die Hard,,"Action, Thriller",313,1508,1209.25
891,Days of Heaven,,"Drama, Romance",1419,1140,1209.75
892,The Eighth Sense,,"Romance, Drama",N/A,791,1210.00
893,Signal,,,N/A,792,1210.75
894,Pixote,,"Crime, Drama",N/A,793,1211.50
895,Won't You Be My Neighbor?,,Documentary,N/A,794,1212.25
896,Live Aid,,"Music, Documentary",N/A,795,1213.00
897,Tinker Tailor Soldier Spy,,"Drama, Thriller, Mystery",2141,904,1213.25
898,Decalogue X,,"Drama, TV Movie, Comedy",N/A,796,1213.75
899,Angel's Egg,,"Animation, Fantasy, Mystery",1996,954,1214.50
900,The Wind Rises,,"Drama, Animation, Romance, War, History",738,1375,1215.75
901,Bray Wyatt: Becoming Immortal,,Documentary,N/A,800,1216.75
902,Lilya 4-ever,,"Crime, Drama",1866,1001,1217.25
903,Six Seasons and A Movie: A Community Art Show,,Documentary,N/A,802,1218.25
904,The Piano Teacher,,"Drama, Romance",936,1313,1218.75
905,American Movie,,"Documentary, Comedy",N/A,803,1219.00
906,Evolution of a Filipino Family,,Drama,N/A,804,1219.75
907,A Face in the Crowd,,Drama,N/A,805,1220.50
908,Kill Bill: Vol. 2,,"Action, Crime, Thriller",239,1548,1220.75
909,One More Time with Feeling,,"Documentary, Music",N/A,806,1221.25
910,Rebecca,,"Mystery, Romance, Thriller",1626,1087,1221.75
911,The PriceMaster,,"Comedy, Documentary",N/A,807,1222.00
912,The Green Ray,,"Drama, Romance",2396,831,1222.25
913,I Know This Much Is True,,,N/A,808,1222.75
914,8:46,,Comedy,N/A,810,1224.25
915,"Night Is Short, Walk on Girl",,"Comedy, Romance, Animation, Fantasy",N/A,812,1225.75
916,The Life of Oharu,,Drama,N/A,813,1226.50
917,Country Music,,,N/A,814,1227.25
918,First Love,,"Crime, Action, Comedy",N/A,815,1228.00
919,Day for Night,,"Comedy, Drama",N/A,816,1228.75
920,Rob Cantor: Shia LaBeouf Live,,,N/A,817,1229.50
921,Scott Pilgrim Takes Off,,,2250,890,1230.00
922,Winter Sleep,,Drama,N/A,819,1231.00
923,Being John Malkovich,,"Comedy, Drama, Fantasy",539,1462,1231.25
924,Sufjan Stevens: Carrie & Lowell Live,,Music,N/A,820,1231.75
925,La Strada,,Drama,N/A,821,1232.50
926,One Week,,Drama,N/A,822,1233.25
927,The Exterminating Angel,,"Comedy, Drama, Fantasy",N/A,824,1234.75
928,Chunky Shrapnel,,"Music, Documentary",N/A,825,1235.50
929,I Am Not Your Negro,,Documentary,N/A,826,1236.25
930,jeen-yuhs: A Kanye Trilogy,,,N/A,827,1237.00
931,Love Streams,,Drama,N/A,830,1239.25
932,Björk: Vespertine Live – Royal Opera House 2001,,Music,N/A,832,1240.75
933,Mind Game,,"Animation, Romance, Comedy, Drama, Fantasy",N/A,833,1241.50
934,The Count of Monte-Cristo,,"Adventure, Drama, History",N/A,834,1242.25
935,"They Shoot Horses, Don't They?",,Drama,N/A,835,1243.00
936,Prison Playbook,,,N/A,836,1243.75
937,David Attenborough: A Life on Our Planet,,"Documentary, Drama",N/A,837,1244.50
938,Day of Wrath,,"Adventure, Drama, Action",N/A,838,1245.25
939,Top Gear: Vietnam Special,,Documentary,N/A,839,1246.00
940,Sense8: Amor Vincit Omnia,,,N/A,840,1246.75
941,"The Cook, the Thief, His Wife & Her Lover",,"Crime, Drama",2352,879,1247.25
942,A Taxi Driver,,"Action, Drama, History",N/A,841,1247.50
943,BoJack Horseman Christmas Special,,,N/A,842,1248.25
944,Nostos: The Return,,"Drama, Adventure",N/A,843,1249.00
945,Hedgehog in the Fog,,"Animation, Adventure, Mystery",N/A,845,1250.50
946,Alone in the Wilderness,,"Documentary, History",N/A,846,1251.25
947,Girls' Last Tour,,,N/A,847,1252.00
948,Rio Bravo,,Western,N/A,849,1253.50
949,Cria!,,Drama,N/A,850,1254.25
950,Bo Burnham: The Inside Outtakes,,"Comedy, Music, Drama",N/A,854,1257.25
951,The Metamorphosis of Birds,,"Documentary, Drama",N/A,855,1258.00
952,"Love, Death & Robots: Zima Blue",,Action,N/A,856,1258.75
953,Hundreds of Beavers,,"Comedy, Adventure, Action",N/A,857,1259.50
954,Ponyo,,"Animation, Fantasy, Family",342,1566,1260.00
955,Strangers from Hell,,Horror,N/A,858,1260.25
956,The Message,,"Adventure, Drama, Action, History",N/A,859,1261.00
957,Taylor Swift: The Road to Reputation,,"Music, Documentary, TV Movie",N/A,860,1261.75
958,Pictures of the Old World,,Documentary,N/A,861,1262.50
959,This World Can't Tear Me Down,,,N/A,862,1263.25
960,Cool Hand Luke,,"Action, Drama, Crime",2212,947,1263.25
961,Taxi Driver,,"Crime, Drama",60,1665,1263.75
962,Who Killed Captain Alex?,,"Action, Drama, Comedy",N/A,863,1264.00
963,Everything Will Be OK,,"Animation, Drama",N/A,864,1264.75
964,Manoel’s Destinies,,"Fantasy, Adventure",N/A,865,1265.50
965,5 Broken Cameras,,"War, Documentary, Drama, Crime",N/A,866,1266.25
966,The Great Escape,,"Adventure, Drama, History, Thriller, War",2089,993,1267.00
967,The Imagineering Story,,,N/A,868,1267.75
968,"War and Peace, Part I: Andrei Bolkonsky",,"War, Drama, History",N/A,869,1268.50
969,Nashville,,"Drama, Music, Comedy",2307,923,1269.00
970,The Wire Odyssey,,Documentary,N/A,870,1269.25
971,Ariana Grande: Dangerous Woman Diaries,,,N/A,874,1272.25
972,From What Is Before,,Drama,N/A,875,1273.00
973,Through the Olive Trees,,Drama,N/A,876,1273.75
974,"Aguirre, the Wrath of God",,"History, Adventure, Drama",1969,1043,1274.50
975,The Spirit of the Beehive,,"Drama, Fantasy",N/A,877,1274.50
976,"Throw Away Your Books, Rally in the Streets",,Drama,N/A,878,1275.25
977,"McCartney 3, 2, 1",,,N/A,880,1276.75
978,SEVENTEEN TOUR 'FOLLOW' TO JAPAN: LIVE VIEWING,,Music,N/A,884,1279.75
979,Before Midnight,,"Romance, Drama",566,1518,1280.00
980,The Mother and the Whore,,"Drama, Romance, Comedy",N/A,885,1280.50
981,Original Cast Album: Company,,"Documentary, Music",N/A,886,1281.25
982,Come from Away,,"Comedy, Drama",N/A,887,1282.00
983,A Very Potter Musical,,"Music, Comedy",N/A,889,1283.50
984,The Young Pope,,Documentary,N/A,891,1285.00
985,HAIKYU!! The Dumpster Battle,,"Animation, Drama",N/A,893,1286.50
986,The Shop Around the Corner,,"Comedy, Drama, Romance",N/A,894,1287.25
987,Summer of Soul,"...or, When the Revolution Could Not Be Televised","Music, Documentary, History",N/A,895,1288.00
988,Black Mirror,,Drama,N/A,896,1288.75
989,"Rome, Open City",,"Drama, History, War",N/A,897,1289.50
990,The Usual Suspects,,"Drama, Crime, Thriller",482,1559,1289.75
991,When a Woman Ascends the Stairs,,Drama,N/A,898,1290.25
992,"Comrades, Almost a Love Story",,"Drama, Romance",N/A,900,1291.75
993,Euphoria: Trouble Don't Last Always,,,1831,1113,1292.50
994,The Naked Island,,Drama,N/A,901,1292.50
995,The Color of Pomegranates,,"Drama, History",2012,1054,1293.50
996,Shrek 2,,"Animation, Family, Comedy, Fantasy, Adventure, Romance",214,1654,1294.00
997,GODSPEED,,"Drama, Mystery",N/A,903,1294.00
998,3 Women,,Drama,2244,979,1295.25
999,Capernaum,,Drama,2317,955,1295.50
1000,"Love Is the Message, the Message Is Death",,History,N/A,905,1295.50
1001,Anne of Green Gables,,"Family, Drama",N/A,906,1296.25
1002,Ben Platt: Live from Radio City Music Hall,,"Music, Documentary",N/A,907,1297.00
1003,Haikyuu!! Movie 4: Battle of Concepts,,"Animation, Drama",N/A,909,1298.50
1004,A Prophet,,"Crime, Drama",N/A,911,1300.00
1005,Walking with Dinosaurs,,"Animation, Family, Adventure",N/A,912,1300.75
1006,Doctor Who: The Day of the Doctor,,"Science Fiction, Adventure",N/A,914,1302.25
1007,Out-Takes from the Life of a Happy Man,,Documentary,N/A,915,1303.00
1008,Petite Maman,,"Drama, Fantasy",1403,1270,1303.25
1009,Crumb,,Documentary,N/A,916,1303.75
1010,The Wire,,Documentary,N/A,918,1305.25
1011,Return of the Jedi,,"Adventure, Action, Science Fiction",198,1677,1307.25
1012,John Mulaney: The Comeback Kid,,Comedy,N/A,921,1307.50
1013,Future Boy Conan,,"Action, Adventure, Science Fiction, Animation",N/A,922,1308.25
1014,Hard Boiled,,"Action, Thriller, Crime",N/A,924,1309.75
1015,Nightcrawler,,"Crime, Drama, Thriller",133,1704,1311.25
1016,The Sorrow and the Pity,,"Documentary, History, War",N/A,926,1311.25
1017,Investigation of a Citizen Above Suspicion,,"Drama, Thriller",N/A,927,1312.00
1018,My Night at Maud's,,"Romance, Comedy, Drama",N/A,928,1312.75
1019,Manila in the Claws of Light,,"Drama, Mystery",N/A,929,1313.50
1020,Kitbull,,"Animation, Family, Drama",N/A,930,1314.25
1021,The Grapes of Wrath,,Drama,N/A,932,1315.75
1022,Haru,,"Comedy, Drama, Adventure, Family",N/A,934,1317.25
1023,Ulysses' Gaze,,"Drama, History, War",N/A,935,1318.00
1024,Undone,,Animation,N/A,936,1318.75
1025,The Princess Bride,,"Adventure, Family, Fantasy, Comedy, Romance",397,1626,1318.75
1026,LA 92,,"Documentary, History",N/A,939,1321.00
1027,Girl - Yeah Right!,,Documentary,N/A,940,1321.75
1028,"Love, Deutschmarks and Death",,Documentary,N/A,941,1322.50
1029,One Froggy Evening,,"Animation, Comedy, Music",N/A,942,1323.25
1030,When Harry Met Sally...,,"Comedy, Romance, Drama",319,1658,1323.25
1031,"Like Father, Like Son",,Drama,N/A,944,1324.75
1032,This Is England '88,,,N/A,948,1327.75
1033,Small Axe,,,N/A,949,1328.50
1034,Ryuichi Sakamoto | Opus,,"Documentary, Music",N/A,950,1329.25
1035,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,,"Animation, Science Fiction, Music, Adventure",N/A,951,1330.00
1036,In Transit,,"Documentary, Music",N/A,952,1330.75
1037,"Love, Death & Robots: Bad Travelling",,Action,N/A,953,1331.50
1038,Beauty and the Beast,,"Romance, Family, Animation, Fantasy",722,1535,1331.75
1039,The Farewell,,"Comedy, Drama",698,1543,1331.75
1040,The Straight Story,,Drama,2078,1084,1332.50
1041,The Three Deaths of Marisela Escobedo,,"Documentary, Crime",N/A,956,1333.75
1042,Mulan,,"Animation, Family, Adventure",1473,1288,1334.25
1043,Dopesick,,Documentary,N/A,957,1334.50
1044,Portrait of a Young Girl at the End of the 60s in Brussels,,"TV Movie, Drama, Romance",N/A,958,1335.25
1045,The Paley Center Salutes The Good Place,,Documentary,N/A,959,1336.00
1046,Céline and Julie Go Boating,,"Comedy, Drama, Fantasy",N/A,960,1336.75
1047,Sherlock: The Great Game,,,N/A,961,1337.50
1048,Through a Glass Darkly,,Drama,N/A,962,1338.25
1049,Once Upon a Studio,,"Animation, Family, Fantasy, Comedy",N/A,963,1339.00
1050,1883,,Documentary,N/A,965,1340.50
1051,My Uncle Napoleon,,,N/A,966,1341.25
1052,Vulfpeck: Live at Madison Square Garden,,"Music, Documentary",N/A,968,1342.75
1053,Azur & Asmar: The Princes' Quest,,"Animation, Family",N/A,969,1343.50
1054,Cunk on Earth,,,N/A,970,1344.25
1055,Women on the Verge of a Nervous Breakdown,,"Comedy, Drama",1296,1361,1344.75
1056,Harold and Maude,,"Comedy, Drama, Romance",1691,1232,1346.75
1057,Burn the Stage: The Movie,,"Music, Documentary",N/A,975,1348.00
1058,Dave Chappelle: For What It's Worth,,Comedy,N/A,977,1349.50
1059,Pride,,"Drama, Comedy",1989,1137,1350.00
1060,To Kill a Mockingbird,,Drama,1299,1367,1350.00
1061,The Fire Within,,Drama,N/A,980,1351.75
1062,Faces Places,,Documentary,N/A,981,1352.50
1063,Doctor Who: City of Death,,"Comedy, Adventure, Science Fiction, TV Movie",N/A,982,1353.25
1064,The Gold Rush,,"Adventure, Comedy, Drama",N/A,983,1354.00
1065,Fishing with John,,"Drama, Romance, TV Movie",N/A,984,1354.75
1066,Your Lie in April,,"Drama, Music, Romance",N/A,985,1355.50
1067,I Am Easy to Find,,Music,N/A,986,1356.25
1068,The Lighthouse,,"Drama, Fantasy, Thriller",100,1775,1356.25
1069,Poor Things,,"Science Fiction, Romance, Comedy",20,1802,1356.50
1070,Rilakkuma and Kaoru,,,N/A,987,1357.00
1071,Fitzcarraldo,,"Drama, Adventure",N/A,988,1357.75
1072,Güeros,,"Drama, Comedy",N/A,989,1358.50
1073,Double King,,"Animation, Fantasy",N/A,990,1359.25
1074,Charulata,,Romance,N/A,991,1360.00
1075,La Maison en Petits Cubes,,Animation,N/A,992,1360.75
1076,Jojo Rabbit,,"Comedy, War, Drama",64,1793,1360.75
1077,L.A. Confidential,,"Crime, Mystery, Thriller",930,1506,1362.00
1078,1D Day,,"Drama, Music, Documentary",N/A,994,1362.25
1079,HyperNormalisation,,Documentary,N/A,995,1363.00
1080,Once Upon a Time in Anatolia,,"Drama, Crime",N/A,996,1363.75
1081,Woodstock,,"Documentary, History, Music",N/A,998,1365.25
1082,Dear Jinri,,"Drama, Documentary",N/A,999,1366.00
1083,Interface,,"Horror, Science Fiction, Thriller",N/A,1000,1366.75
1084,Finding Nemo,,"Animation, Family",150,1773,1367.25
1085,In the Darkness of Time,,Drama,N/A,1002,1368.25
1086,The Return,,"Horror, Science Fiction",N/A,1003,1369.00
1087,Every Brilliant Thing,,"Documentary, TV Movie",N/A,1004,1369.75
1088,After Life,,"Drama, Horror, Mystery, Thriller",N/A,1005,1370.50
1089,Die Nibelungen: Siegfried,,"Adventure, Drama, Fantasy",N/A,1006,1371.25
1090,Hearts and Minds,,"Documentary, War",N/A,1007,1372.00
1091,Dressed in Blue,,"Drama, Documentary",N/A,1008,1372.75
1092,Youth of May,,,N/A,1009,1373.50
1093,Catch Me If You Can,,"Drama, Crime",128,1789,1373.75
1094,SUGA | Agust D TOUR “D-DAY” in JAPAN: LIVE VIEWING,,Music,N/A,1010,1374.25
1095,The Virgin Spring,,"Drama, History",N/A,1011,1375.00
1096,Hope,,Documentary,N/A,1013,1376.50
1097,The History of the Atlanta Falcons,,,N/A,1014,1377.25
1098,The Thin Red Line,,"Drama, History, War",1278,1411,1377.75
1099,The Last Movie Stars,,,N/A,1016,1378.75
1100,Il Posto,,Drama,N/A,1017,1379.50
1101,El sur,,Drama,N/A,1020,1381.75
1102,Nazi Concentration Camps,,"Documentary, History, War",N/A,1021,1382.50
1103,Joint Security Area,,"War, Drama, Thriller, Action",N/A,1022,1383.25
1104,Scarlet Heart: Ryeo,,,N/A,1023,1384.00
1105,Heima,,"Documentary, Music",N/A,1024,1384.75
1106,Hunt for the Wilderpeople,,"Adventure, Comedy, Drama",885,1552,1385.25
1107,Les Misérables - 25th Anniversary in Concert,,"History, Music",N/A,1025,1385.50
1108,Threads,,"War, Drama, Science Fiction",N/A,1026,1386.25
1109,Goodbye Brooklyn Nine-Nine,,"Documentary, TV Movie",N/A,1027,1387.00
1110,Cabaret,,"Music, Drama, Romance",1876,1226,1388.50
1111,The Crucified Lovers,,"Drama, Romance",N/A,1030,1389.25
1112,In the Name of the Father,,Drama,N/A,1032,1390.75
1113,Thief,,"Crime, Thriller, Action",1455,1370,1391.25
1114,Jacquot de Nantes,,Drama,N/A,1033,1391.50
1115,A Place Further Than the Universe,,,N/A,1034,1392.25
1116,McCabe & Mrs. Miller,,"Western, Drama",N/A,1035,1393.00
1117,There’s Still Tomorrow,,"Drama, Comedy, War",N/A,1038,1395.25
1118,Burning,,Documentary,757,1608,1395.25
1119,My Brother Jordan,,,N/A,1039,1396.00
1120,Joyland,,Comedy,N/A,1040,1396.75
1121,Top Gear: The Great African Adventure,,"Documentary, Adventure, Comedy",N/A,1041,1397.50
1122,The Cabinet of Dr. Caligari,,"Drama, Horror, Thriller, Crime",1181,1470,1397.75
1123,Princess Tutu,,,N/A,1042,1398.25
1124,A City of Sadness,,"Drama, History",N/A,1044,1399.75
1125,The Travelling Players,,"Drama, War, History",N/A,1047,1402.00
1126,63 Up,,Documentary,N/A,1048,1402.75
1127,A Grin Without a Cat,,Documentary,N/A,1049,1403.50
1128,George Carlin: Jammin' in New York,,Comedy,N/A,1050,1404.25
1129,Blue Weekend,,Drama,N/A,1051,1405.00
1130,Grizzly Man,,Documentary,2394,1076,1405.50
1131,The Paley Center Salutes Parks and Recreation,,Documentary,N/A,1053,1406.50
1132,Pariyerum Perumal,,"Romance, Drama",N/A,1055,1408.00
1133,Game of Thrones - Conquest & Rebellion: An Animated History of the Seven Kingdoms,,"Animation, Fantasy, War, TV Movie",N/A,1056,1408.75
1134,The Great Beauty,,Drama,1865,1257,1409.00
1135,Last Twilight in Phuket,,Drama,N/A,1057,1409.50
1136,"Pretty Village, Pretty Flame",,"Drama, War",N/A,1058,1410.25
1137,Seconds,,"Thriller, Science Fiction, Drama, Horror",N/A,1059,1411.00
1138,Almost Famous,,"Drama, Music",483,1721,1411.50
1139,Terrorizers,,"Drama, Crime",N/A,1062,1413.25
1140,Sherlock: A Scandal in Belgravia,,,N/A,1063,1414.00
1141,Rabbit Fire,,"Animation, Comedy",N/A,1064,1414.75
1142,Alice in the Cities,,Drama,N/A,1065,1415.50
1143,Kumbalangi Nights,,"Comedy, Drama, Romance",N/A,1066,1416.25
1144,Pyaasa,,"Drama, Romance",N/A,1067,1417.00
1145,The Doors: Live at the Bowl '68,,"Music, Documentary",N/A,1068,1417.75
1146,The Leopard,,Drama,N/A,1069,1418.50
1147,The Power of Nightmares,,,N/A,1070,1419.25
1148,The Heiress,,"Drama, Romance, History",N/A,1071,1420.00
1149,"Three Billboards Outside Ebbing, Missouri",,"Crime, Drama",382,1766,1420.00
1150,The Second Mother,,Drama,N/A,1074,1422.25
1151,The Taste of Tea,,"Comedy, Drama",N/A,1077,1424.50
1152,Cameraperson,,Documentary,N/A,1078,1425.25
1153,Histoire,s,"Comedy, Adventure",N/A,1079,1426.00
1154,9/11,,"Drama, Thriller",N/A,1081,1427.50
1155,Frances Ha,,"Comedy, Drama",377,1778,1427.75
1156,Children of Heaven,,"Drama, Family",N/A,1082,1428.25
1157,The Dream of a Ridiculous Man,,"Animation, Drama",N/A,1083,1429.00
1158,Ziggy Stardust and the Spiders from Mars,,Music,N/A,1085,1430.50
1159,Father Ted: A Christmassy Ted,,,N/A,1086,1431.25
1160,Breaking the Waves,,"Drama, Romance",N/A,1088,1432.75
1161,The Roosevelts: An Intimate History,,,N/A,1089,1433.50
1162,Lonesome Dove,,Western,N/A,1091,1435.00
1163,MTV’s Downtown: Behind The Scenes,,Documentary,N/A,1092,1435.75
1164,Michael Jackson: Live in Bucharest - The Dangerous Tour,,"Music, Documentary",N/A,1093,1436.50
1165,Patrice O'Neal: Elephant in the Room,,Comedy,N/A,1095,1438.00
1166,The Garden of Sinners: Paradox Spiral,,"Action, Animation, Drama, Mystery, Thriller, Fantasy",N/A,1096,1438.75
1167,The Underground Railroad,,Documentary,N/A,1098,1440.25
1168,Fire of Love,,Documentary,1807,1319,1441.00
1169,Gangs of Wasseypur – Part 2,,"Crime, Thriller, Action",N/A,1099,1441.00
1170,Patlabor 2: The Movie,,"Animation, Science Fiction, Action, Thriller",N/A,1101,1442.50
1171,Lost Highway,,"Drama, Thriller, Mystery",881,1632,1444.25
1172,SHOP: A Pop Opera,,"Animation, Music, Comedy",N/A,1104,1444.75
1173,Long Way Round,,Drama,N/A,1105,1445.50
1174,The Hidden Fortress,,"Drama, Action, Adventure",N/A,1106,1446.25
1175,No Direction Home: Bob Dylan,,"Documentary, Music",N/A,1107,1447.00
1176,Narcos,,Drama,N/A,1108,1447.75
1177,The Burmese Harp,,"Drama, War",N/A,1109,1448.50
1178,The Story of the Last Chrysanthemum,,"Romance, Drama",N/A,1110,1449.25
1179,Blue,,"Romance, Western",N/A,1111,1450.00
1180,The Green Planet,,"Comedy, Crime, Science Fiction",N/A,1112,1450.75
1181,Revolutionary Girl Utena: The Adolescence of Utena,,"Animation, Fantasy, Action, Romance",N/A,1114,1452.25
1182,Green Day: Bullet in a Bible,,"Documentary, Music",N/A,1115,1453.00
1183,The Great Silence,,"Western, Drama",N/A,1116,1453.75
1184,A Grand Day Out,,"Family, Animation, Comedy",N/A,1118,1455.25
1185,The Cat Concerto,,"Animation, Comedy, Music",N/A,1119,1456.00
1186,Dark,,"Thriller, Drama, Horror",N/A,1120,1456.75
1187,The Innocents,,"Horror, Mystery",N/A,1121,1457.50
1188,A Short Film About Love,,"Drama, Romance",N/A,1122,1458.25
1189,Sassy the Sasquatch,,,N/A,1123,1459.00
1190,Two in the Shadow,,"Romance, Drama",N/A,1124,1459.75
1191,Downfall,,"Drama, Mystery",2205,1212,1460.25
1192,Waitress: The Musical,,"Comedy, Drama",N/A,1125,1460.50
1193,Castle in the Sky,,"Adventure, Fantasy, Animation, Action, Family, Romance",704,1713,1460.75
1194,About Elly,,Drama,N/A,1127,1462.00
1195,Eddie Izzard: Dress to Kill,,Comedy,N/A,1128,1462.75
1196,Steven Universe,,"Comedy, Animation",N/A,1129,1463.50
1197,The Sixth Sense,,"Mystery, Thriller, Drama",329,1842,1463.75
1198,The Favourite,,"Drama, Comedy, Thriller, History",254,1868,1464.50
1199,The Murder of Fred Hampton,,Documentary,N/A,1131,1465.00
1200,Street of Shame,,Drama,N/A,1132,1465.75
1201,Once Upon a Time in Iraq,,,N/A,1133,1466.50
1202,Kit Kat,,"Comedy, Drama",N/A,1134,1467.25
1203,Springsteen On Broadway,,"Music, Documentary",N/A,1135,1468.00
1204,Daisy Jones & the Six,,,N/A,1136,1468.75
1205,Ranking of Kings,,"Animation, Adventure, Fantasy, Comedy",N/A,1138,1470.25
1206,This Is England '86,,,N/A,1139,1471.00
1207,Le Bonheur,,"Drama, Romance",N/A,1141,1472.50
1208,Jimi Plays Monterey,,"Documentary, Music",N/A,1142,1473.25
1209,A Short Film About Killing,,"Crime, Drama",N/A,1143,1474.00
1210,Watchmen: Motion Comic,,,N/A,1144,1474.75
1211,See Know Evil,,Documentary,N/A,1145,1475.50
1212,Mob Psycho 100: Reigen - The Miraculous Unknown Psychic,,,N/A,1146,1476.25
1213,Dorohedoro,,,N/A,1147,1477.00
1214,The Apothecary Diaries,,,N/A,1148,1477.75
1215,My Little Goat,,"Animation, Fantasy, Horror",N/A,1149,1478.50
1216,Beck: Mongolian Chop Squad,,,N/A,1151,1480.00
1217,TRIGUN,,"Action, Animation, Science Fiction, Adventure",N/A,1154,1482.25
1218,Inside Llewyn Davis,,"Drama, Music",685,1749,1483.00
1219,Be Melodramatic,,,N/A,1155,1483.00
1220,The Ox-Bow Incident,,"Western, Drama",N/A,1156,1483.75
1221,Sanjuro,,"Drama, Action, Comedy",N/A,1157,1484.50
1222,Mushi-Shi: The Shadow That Devours the Sun,,Animation,N/A,1158,1485.25
1223,Fighting Spirit,,"Animation, Comedy, Drama, Action",N/A,1159,1486.00
1224,Crayon Shin-chan: Storm-invoking Passion! The Adult Empire Strikes Back,,"Animation, Comedy",N/A,1160,1486.75
1225,RoboDoc: The Creation of RoboCop,,,N/A,1161,1487.50
1226,The Misadventures of Rick and Morty,,"Animation, Comedy, Science Fiction",N/A,1162,1488.25
1227,"Love, Death & Robots: Jibaro",,Action,N/A,1163,1489.00
1228,Challengers,,"Romance, Drama",61,1966,1489.75
1229,Baccano!,,,N/A,1164,1489.75
1230,Not Me,,"Drama, Comedy, Romance",N/A,1165,1490.50
1231,Kaguya-sama: Love Is War -The First Kiss That Never Ends-,,"Animation, Comedy, Romance",N/A,1166,1491.25
1232,Vada Chennai,,"Action, Crime, Drama",N/A,1167,1492.00
1233,Léon: The Professional,,"Crime, Drama, Action",228,1914,1492.50
1234,Wolf Children,,"Animation, Family, Drama, Fantasy",2262,1236,1492.50
1235,The Sword of Doom,,"Action, Drama",N/A,1169,1493.50
1236,Extraordinary Stories,,Drama,N/A,1170,1494.25
1237,Memories of Matsuko,,"Comedy, Drama, Music",N/A,1171,1495.00
1238,Her,,"Romance, Science Fiction, Drama",53,1977,1496.00
1239,The Suspended Step of the Stork,,Drama,N/A,1173,1496.50
1240,Good Omens: Lockdown,,"Comedy, Fantasy",N/A,1174,1497.25
1241,Coldplay: Music of the Spheres - Live Broadcast from Buenos Aires,,Music,N/A,1175,1498.00
1242,My Dinner with Andre,,Drama,2117,1293,1499.00
1243,Falling in Love Like in Movies,,"Comedy, Drama, Romance",N/A,1177,1499.50
1244,George Harrison: Living in the Material World,,"Music, Documentary",N/A,1178,1500.25
1245,Joe Pera: Slow & Steady,,Comedy,N/A,1179,1501.00
1246,Prince: Sign O' the Times,,"Music, Documentary",N/A,1180,1501.75
1247,Turtles Can Fly,,Drama,N/A,1181,1502.50
1248,How to Train Your Dragon,,"Fantasy, Adventure, Animation, Family",315,1899,1503.00
1249,Samurai Jack: The Premiere Movie,,"Science Fiction, Action, Animation, Fantasy, TV Movie",N/A,1182,1503.25
1250,The Bitter Tears of Petra von Kant,,"Drama, Romance",N/A,1183,1504.00
1251,history of japan,,,N/A,1184,1504.75
1252,The Pacific,,"Adventure, Thriller, Drama",N/A,1185,1505.50
1253,The Tatami Time Machine Blues,,"Animation, Comedy, Drama",N/A,1186,1506.25
1254,Lessons of Darkness,,"War, Documentary",N/A,1188,1507.75
1255,Amarcord,,"Comedy, Drama",N/A,1189,1508.50
1256,Zodiac,,"Crime, Drama, Mystery, Thriller",145,1963,1508.50
1257,Mr. Bachmann and His Class,,Documentary,N/A,1190,1509.25
1258,The Servant,,Drama,N/A,1192,1510.75
1259,Moonrise Kingdom,,"Comedy, Drama, Romance",242,1934,1511.00
1260,Battlestar Galactica,,"Science Fiction, Adventure",N/A,1193,1511.50
1261,La Chimera,,"Adventure, Comedy, Fantasy, Drama, History",1354,1564,1511.50
1262,The Diving Bell and the Butterfly,,"Drama, History",N/A,1195,1513.00
1263,In Space with Markiplier,,"Adventure, Comedy, Science Fiction",N/A,1196,1513.75
1264,Nirvana: Live And Loud,,"Music, Documentary",N/A,1198,1515.25
1265,Dead Man's Letters,,"Drama, Science Fiction",N/A,1199,1516.00
1266,The Tragedy of Man,,"Animation, Drama, History",N/A,1200,1516.75
1267,Love & Pop,,"Romance, Action, Drama",N/A,1201,1517.50
1268,The Wolf House,,"Animation, Horror, Drama",N/A,1203,1519.00
1269,"Oslo, August 31st",,Drama,2151,1309,1519.50
1270,Out of the Past,,"Crime, Romance, Thriller",N/A,1204,1519.75
1271,Pink Floyd: The Wall,,"Music, Drama",2256,1276,1521.00
1272,Twenty-Four Eyes,,Drama,N/A,1206,1521.25
1273,Naked,,Comedy,1698,1463,1521.75
1274,Disintegration Loop 1.1,,"Documentary, Music",N/A,1207,1522.00
1275,Greatest Events of World War II in Colour,,,N/A,1208,1522.75
1276,They Shall Not Grow Old,,"Documentary, History, War",N/A,1209,1523.50
1277,Let the Right One In,,"Horror, Drama",1244,1617,1523.75
1278,Riceboy Sleeps,,Drama,N/A,1210,1524.25
1279,Kanal,,"War, Drama",N/A,1211,1525.00
1280,Vagabond,,"Comedy, Drama",2233,1291,1526.50
1281,Chimp Empire,,,N/A,1214,1527.25
